Date,log_price_residual
2011-05-15,
2011-05-16,
2011-05-17,
2011-05-18,
2011-05-19,
2011-05-20,
2011-05-21,
2011-05-22,
2011-05-23,
2011-05-24,
2011-05-25,
2011-05-26,
2011-05-27,
2011-05-28,
2011-05-29,
2011-05-30,
2011-05-31,
2011-06-01,
2011-06-02,
2011-06-03,
2011-06-04,
2011-06-05,
2011-06-06,
2011-06-07,
2011-06-08,
2011-06-09,
2011-06-10,
2011-06-11,
2011-06-12,
2011-06-13,
2011-06-14,
2011-06-15,
2011-06-16,
2011-06-17,
2011-06-18,
2011-06-19,
2011-06-20,
2011-06-21,
2011-06-22,
2011-06-23,
2011-06-24,
2011-06-25,
2011-06-26,
2011-06-27,
2011-06-28,
2011-06-29,
2011-06-30,
2011-07-01,
2011-07-02,
2011-07-03,
2011-07-04,
2011-07-05,
2011-07-06,
2011-07-07,
2011-07-08,
2011-07-09,
2011-07-10,
2011-07-11,
2011-07-12,
2011-07-13,
2011-07-14,
2011-07-15,
2011-07-16,
2011-07-17,
2011-07-18,
2011-07-19,
2011-07-20,
2011-07-21,
2011-07-22,
2011-07-23,
2011-07-24,
2011-07-25,
2011-07-26,
2011-07-27,
2011-07-28,
2011-07-29,
2011-07-30,
2011-07-31,
2011-08-01,
2011-08-02,
2011-08-03,
2011-08-04,
2011-08-05,
2011-08-06,
2011-08-07,
2011-08-08,
2011-08-09,
2011-08-10,
2011-08-11,
2011-08-12,
2011-08-13,
2011-08-14,
2011-08-15,
2011-08-16,
2011-08-17,
2011-08-18,
2011-08-19,
2011-08-20,
2011-08-21,
2011-08-22,
2011-08-23,
2011-08-24,
2011-08-25,
2011-08-26,
2011-08-27,
2011-08-28,
2011-08-29,
2011-08-30,
2011-08-31,
2011-09-01,
2011-09-02,
2011-09-03,
2011-09-04,
2011-09-05,
2011-09-06,
2011-09-07,
2011-09-08,
2011-09-09,
2011-09-10,
2011-09-11,
2011-09-12,
2011-09-13,
2011-09-14,
2011-09-15,
2011-09-16,
2011-09-17,
2011-09-18,
2011-09-19,
2011-09-20,
2011-09-21,
2011-09-22,
2011-09-23,
2011-09-24,
2011-09-25,
2011-09-26,
2011-09-27,
2011-09-28,
2011-09-29,
2011-09-30,
2011-10-01,
2011-10-02,
2011-10-03,
2011-10-04,
2011-10-05,
2011-10-06,
2011-10-07,
2011-10-08,
2011-10-09,
2011-10-10,
2011-10-11,
2011-10-12,
2011-10-13,
2011-10-14,
2011-10-15,
2011-10-16,
2011-10-17,
2011-10-18,
2011-10-19,
2011-10-20,
2011-10-21,
2011-10-22,
2011-10-23,
2011-10-24,
2011-10-25,
2011-10-26,
2011-10-27,
2011-10-28,
2011-10-29,
2011-10-30,
2011-10-31,
2011-11-01,
2011-11-02,
2011-11-03,
2011-11-04,
2011-11-05,
2011-11-06,
2011-11-07,
2011-11-08,
2011-11-09,
2011-11-10,
2011-11-11,
2011-11-12,
2011-11-13,
2011-11-14,
2011-11-15,
2011-11-16,
2011-11-17,
2011-11-18,
2011-11-19,
2011-11-20,
2011-11-21,
2011-11-22,
2011-11-23,
2011-11-24,
2011-11-25,
2011-11-26,
2011-11-27,
2011-11-28,
2011-11-29,
2011-11-30,
2011-12-01,
2011-12-02,
2011-12-03,
2011-12-04,
2011-12-05,
2011-12-06,
2011-12-07,
2011-12-08,
2011-12-09,
2011-12-10,
2011-12-11,
2011-12-12,
2011-12-13,
2011-12-14,
2011-12-15,
2011-12-16,
2011-12-17,
2011-12-18,
2011-12-19,
2011-12-20,
2011-12-21,
2011-12-22,
2011-12-23,
2011-12-24,
2011-12-25,
2011-12-26,
2011-12-27,
2011-12-28,
2011-12-29,
2011-12-30,
2011-12-31,
2012-01-01,
2012-01-02,
2012-01-03,-0.47874249078655073
2012-01-04,-0.34197455079677086
2012-01-05,-0.13609486112542957
2012-01-06,-0.1655875828561586
2012-01-07,-0.15042449944622382
2012-01-08,-0.10895859118555618
2012-01-09,-0.23077423566100164
2012-01-10,-0.19458459080395296
2012-01-11,-0.1423088982521068
2012-01-12,-0.1606678286516685
2012-01-13,-0.21006969551901067
2012-01-14,-0.1648694314642838
2012-01-15,-0.12526482466496747
2012-01-16,-0.17466715044298242
2012-01-17,-0.3565627131510616
2012-01-18,-0.3046591235266827
2012-01-19,-0.2375548339968856
2012-01-20,-0.2095710749925319
2012-01-21,-0.2609680083859196
2012-01-22,-0.24213645069275969
2012-01-23,-0.23174786899637123
2012-01-24,-0.2483564723091678
2012-01-25,-0.3255188718426507
2012-01-26,-0.4046058727583077
2012-01-27,-0.41636743827522116
2012-01-28,-0.35137501039592123
2012-01-29,-0.3997306857676164
2012-01-30,-0.37913861434173524
2012-01-31,-0.37277690948830644
2012-02-01,-0.2807973072389127
2012-02-02,-0.2773662075313612
2012-02-03,-0.3023515449346208
2012-02-04,-0.3121314146646166
2012-02-05,-0.3498489910863831
2012-02-06,-0.38472694183044065
2012-02-07,-0.3526637494578162
2012-02-08,-0.3603980026380742
2012-02-09,-0.32270080203660534
2012-02-10,-0.30574693295157407
2012-02-11,-0.36220568449087853
2012-02-12,-0.3787991457752604
2012-02-13,-0.4099973307641229
2012-02-14,-0.5849679497297249
2012-02-15,-0.6193696501454471
2012-02-16,-0.634136586100992
2012-02-17,-0.6011935018684715
2012-02-18,-0.6276705005332102
2012-02-19,-0.5986808785859419
2012-02-20,-0.6028406108799229
2012-02-21,-0.6128913013881387
2012-02-22,-0.5877068516766764
2012-02-23,-0.45585515982787106
2012-02-24,-0.4579986908451368
2012-02-25,-0.5088500036026842
2012-02-26,-0.4764339004953988
2012-02-27,-0.47046655046213703
2012-02-28,-0.4891912978029036
2012-02-29,-0.48527613168737194
2012-03-01,-0.47453504356355536
2012-03-02,-0.5166328713972392
2012-03-03,-0.5341454144481859
2012-03-04,-0.4899112463634385
2012-03-05,-0.45908587900035736
2012-03-06,-0.4574608979759063
2012-03-07,-0.4646063832581373
2012-03-08,-0.4668827392480628
2012-03-09,-0.4789294481039583
2012-03-10,-0.48461295392523507
2012-03-11,-0.4735081960112635
2012-03-12,-0.46908097726019604
2012-03-13,-0.39428071680966137
2012-03-14,-0.37549507652888603
2012-03-15,-0.38458519141484526
2012-03-16,-0.384633992646938
2012-03-17,-0.40393429986127605
2012-03-18,-0.39717762991736927
2012-03-19,-0.5153337874711632
2012-03-20,-0.4826261857742442
2012-03-21,-0.4847282259600083
2012-03-22,-0.5022738390815837
2012-03-23,-0.5094854724877771
2012-03-24,-0.5170866628429229
2012-03-25,-0.5377856445216471
2012-03-26,-0.5193693663114407
2012-03-27,-0.4808171129677581
2012-03-28,-0.4844268645706571
2012-03-29,-0.4829945604667454
2012-03-30,-0.4684149372373496
2012-03-31,-0.4619989558046118
2012-04-01,-0.4812231232256503
2012-04-02,-0.44191339307391675
2012-04-03,-0.4467878095072544
2012-04-04,-0.45400616532353943
2012-04-05,-0.45284333934581866
2012-04-06,-0.44659738247111624
2012-04-07,-0.4954082325581566
2012-04-08,-0.48015297740121476
2012-04-09,-0.4642339686478576
2012-04-10,-0.46591214252140034
2012-04-11,-0.45023813889136477
2012-04-12,-0.45255775355094596
2012-04-13,-0.44528176977001066
2012-04-14,-0.44035066970430536
2012-04-15,-0.4388110327799888
2012-04-16,-0.44050469470066944
2012-04-17,-0.43640706310135235
2012-04-18,-0.4052464454445033
2012-04-19,-0.40365956792399893
2012-04-20,-0.3586702339126804
2012-04-21,-0.37426698831718697
2012-04-22,-0.39060929723419857
2012-04-23,-0.4067187178846112
2012-04-24,-0.4108820940952782
2012-04-25,-0.39868175358337776
2012-04-26,-0.40837369602801665
2012-04-27,-0.40833401782720635
2012-04-28,-0.4327414997660983
2012-04-29,-0.44602182922555733
2012-04-30,-0.4375156529553934
2012-05-01,-0.42801239459842755
2012-05-02,-0.41443468776125125
2012-05-03,-0.4012591953593634
2012-05-04,-0.4074583024750351
2012-05-05,-0.41278511706336607
2012-05-06,-0.41416227195872524
2012-05-07,-0.40990354015072317
2012-05-08,-0.41824942084408345
2012-05-09,-0.41433031188398384
2012-05-10,-0.4366870213833165
2012-05-11,-0.42892130626764047
2012-05-12,-0.43193150733941055
2012-05-13,-0.4318266354713216
2012-05-14,-0.41804691381648085
2012-05-15,-0.41325400244341637
2012-05-16,-0.40223292811950695
2012-05-17,-0.40154401368848647
2012-05-18,-0.39563921773395494
2012-05-19,-0.39646605472830676
2012-05-20,-0.39974716450388414
2012-05-21,-0.39943069153390076
2012-05-22,-0.40011269689043116
2012-05-23,-0.39205798755740173
2012-05-24,-0.39366278418373923
2012-05-25,-0.3898577007769073
2012-05-26,-0.396060045759705
2012-05-27,-0.3898027885421955
2012-05-28,-0.3891991240356585
2012-05-29,-0.38657730931062106
2012-05-30,-0.3883112317203672
2012-05-31,-0.3796641910366687
2012-06-01,-0.3631679113619859
2012-06-02,-0.36743502592237554
2012-06-03,-0.3731363416197713
2012-06-04,-0.3641837658048188
2012-06-05,-0.33283452657958623
2012-06-06,-0.32910289009374916
2012-06-07,-0.3036421444718371
2012-06-08,-0.2974441510271466
2012-06-09,-0.3092379660331297
2012-06-10,-0.3272130618862339
2012-06-11,-0.3039284766079893
2012-06-12,-0.279276366006473
2012-06-13,-0.24835404129848904
2012-06-14,-0.2398193128213295
2012-06-15,-0.15058465506733465
2012-06-16,-0.1634712278945063
2012-06-17,-0.20259260118430156
2012-06-18,-0.18547509382755334
2012-06-19,-0.15740916663094295
2012-06-20,-0.12810355165517362
2012-06-21,-0.13208694319374326
2012-06-22,-0.14920069463593943
2012-06-23,-0.16770349835317488
2012-06-24,-0.18341510085999957
2012-06-25,-0.18917964815853572
2012-06-26,-0.17170525921254254
2012-06-27,-0.14442945131513563
2012-06-28,-0.1490201203903383
2012-06-29,-0.13937940436731489
2012-06-30,-0.13690924830158502
2012-07-01,-0.14567631193407582
2012-07-02,-0.12901323719419167
2012-07-03,-0.1740744870945441
2012-07-04,-0.16473702999756767
2012-07-05,-0.14603947096588898
2012-07-06,-0.14230519840171718
2012-07-07,-0.12291095748788328
2012-07-08,-0.12545457455887998
2012-07-09,-0.09222285630559868
2012-07-10,-0.07261996798385462
2012-07-11,-0.072695683063428
2012-07-12,-0.023579690066904302
2012-07-13,-0.01490560882637526
2012-07-14,-0.022783656851882217
2012-07-15,-0.017773088524911884
2012-07-16,0.08817531742238627
2012-07-17,0.11642375374746816
2012-07-18,0.15301975929567968
2012-07-19,0.1272738981535526
2012-07-20,0.08580050034756859
2012-07-21,0.12347689089007874
2012-07-22,0.0794299685990496
2012-07-23,0.08073929872096253
2012-07-24,0.08423918764910976
2012-07-25,0.10503586041281876
2012-07-26,0.11538703208845735
2012-07-27,0.11545877214939937
2012-07-28,0.10827576495449431
2012-07-29,0.0958755701943792
2012-07-30,0.13233113531069485
2012-07-31,0.15576927391571083
2012-08-01,0.17997772602353912
2012-08-02,0.27547675234585434
2012-08-03,0.30704312517509
2012-08-04,0.30499864715033365
2012-08-05,0.2920872371629031
2012-08-06,0.29566642154727596
2012-08-07,0.2998668275831826
2012-08-08,0.30919471385036346
2012-08-09,0.30978247246365687
2012-08-10,0.33777157028113125
2012-08-11,0.34349099638125624
2012-08-12,0.34528579186212216
2012-08-13,0.3759330215388834
2012-08-14,0.3899563811083606
2012-08-15,0.4645444214632417
2012-08-16,0.48258953898929224
2012-08-17,0.3722303542178498
2012-08-18,0.32752150359710264
2012-08-19,-0.06445322363377226
2012-08-20,0.17616272644754227
2012-08-21,0.16661837241825284
2012-08-22,0.1515396454029161
2012-08-23,0.18151498111953623
2012-08-24,0.22829423424299478
2012-08-25,0.22526285715706829
2012-08-26,0.21962215073717406
2012-08-27,0.2505736741677693
2012-08-28,0.2514148136566634
2012-08-29,0.24332526502708296
2012-08-30,0.22830398317893286
2012-08-31,0.16641576848413475
2012-09-01,0.1551200983503218
2012-09-02,0.17499433509088735
2012-09-03,0.19918567922333175
2012-09-04,0.18453390655697222
2012-09-05,0.24434117754472995
2012-09-06,0.254379237038703
2012-09-07,0.24469918332192497
2012-09-08,0.23963280684884936
2012-09-09,0.23926840840429886
2012-09-10,0.24288574341471314
2012-09-11,0.2535246081453737
2012-09-12,0.2555838507138515
2012-09-13,0.25918203091159553
2012-09-14,0.2872242032086594
2012-09-15,0.2840352809646385
2012-09-16,0.29602996848249274
2012-09-17,0.2956035228768994
2012-09-18,0.3223053870023933
2012-09-19,0.3397326296842649
2012-09-20,0.32627553057239256
2012-09-21,0.3212553088508945
2012-09-22,0.30916532217828596
2012-09-23,0.3029676277127189
2012-09-24,0.29642737808457786
2012-09-25,0.29986881525048936
2012-09-26,0.3087786027258739
2012-09-27,0.30645043606154676
2012-09-28,0.3092241642025946
2012-09-29,0.3088580122403197
2012-09-30,0.30551326741307827
2012-10-01,0.3031119851123343
2012-10-02,0.33389958435111167
2012-10-03,0.34304916832403043
2012-10-04,0.3334638251912585
2012-10-05,0.32255648566324924
2012-10-06,0.3007616346836359
2012-10-07,0.24693375619222557
2012-10-08,0.2330612653896731
2012-10-09,0.23913158107316868
2012-10-10,0.26047365760825913
2012-10-11,0.25498817852100375
2012-10-12,0.24965798661845362
2012-10-13,0.23923516716611237
2012-10-14,0.2138933121677593
2012-10-15,0.2337996381684131
2012-10-16,0.22677388397911136
2012-10-17,0.23081859464902665
2012-10-18,0.22941297341301636
2012-10-19,0.21328969752690474
2012-10-20,0.20603721578901402
2012-10-21,0.2010202084640218
2012-10-22,0.2063055493404602
2012-10-23,0.2016169238237957
2012-10-24,0.19350603715249237
2012-10-25,0.11324912866582615
2012-10-26,0.052226635317335734
2012-10-27,0.08261792856074068
2012-10-28,0.10490322105973426
2012-10-29,0.09600200672942938
2012-10-30,0.11571933990590688
2012-10-31,0.1401353148782527
2012-11-01,0.08975286213912481
2012-11-02,0.08050175071606747
2012-11-03,0.09040529212136983
2012-11-04,0.10254724348597044
2012-11-05,0.0958779621244843
2012-11-06,0.10617347304485669
2012-11-07,0.11253296292821258
2012-11-08,0.10542219354022553
2012-11-09,0.09688359672526126
2012-11-10,0.09978954056734013
2012-11-11,0.09636218667780616
2012-11-12,0.11218822747683665
2012-11-13,0.10767403448931034
2012-11-14,0.10264758544687203
2012-11-15,0.12065605759098608
2012-11-16,0.16530733562122224
2012-11-17,0.1674661754899729
2012-11-18,0.15860933981901226
2012-11-19,0.1641980960900007
2012-11-20,0.1581761712532388
2012-11-21,0.15909195503232887
2012-11-22,0.20414362827055088
2012-11-23,0.20141093773743135
2012-11-24,0.21037164255281615
2012-11-25,0.21790973718523698
2012-11-26,0.18826586729165085
2012-11-27,0.18446860458442593
2012-11-28,0.1967605591441357
2012-11-29,0.2083644081811773
2012-11-30,0.21359361369400043
2012-12-01,0.2123147640386689
2012-12-02,0.20299945896379068
2012-12-03,0.2138644502682383
2012-12-04,0.2666645626256905
2012-12-05,0.2604429029410218
2012-12-06,0.270800848598975
2012-12-07,0.26878413284947333
2012-12-08,0.2685011689458361
2012-12-09,0.25514708950103016
2012-12-10,0.26405929036378994
2012-12-11,0.2711765343150412
2012-12-12,0.2730734214943138
2012-12-13,0.27743544823079214
2012-12-14,0.264211810516529
2012-12-15,0.2571371250349497
2012-12-16,0.2405279738621302
2012-12-17,0.2377167893960901
2012-12-18,0.23228986968455523
2012-12-19,0.25026278989173356
2012-12-20,0.25069977710355307
2012-12-21,0.23842405474481998
2012-12-22,0.2364335945096654
2012-12-23,0.2264909903104555
2012-12-24,0.23276373308599485
2012-12-25,0.226423236699683
2012-12-26,0.23123276998737463
2012-12-27,0.22533444295753124
2012-12-28,0.22769755021588178
2012-12-29,0.21984082726760956
2012-12-30,0.2233948724945285
2012-12-31,0.2290094188063274
2013-01-01,0.21132422402817097
2013-01-02,0.20582385227323252
2013-01-03,0.2118117196003797
2013-01-04,0.2150974984790226
2013-01-05,0.21396419882092577
2013-01-06,0.21552830021132197
2013-01-07,0.21758205641956252
2013-01-08,0.2321975912074894
2013-01-09,0.2333423209295753
2013-01-10,0.2531149543902047
2013-01-11,0.25861184744469545
2013-01-12,0.2558129489458456
2013-01-13,0.2502004292543085
2013-01-14,0.25936894612746864
2013-01-15,0.2572065065930942
2013-01-16,0.28247427996707053
2013-01-17,0.3391292516656699
2013-01-18,0.34451508119425434
2013-01-19,0.33426288413172145
2013-01-20,0.34055988603465837
2013-01-21,0.40360643614035263
2013-01-22,0.43168911620670514
2013-01-23,0.44283615591108827
2013-01-24,0.4036408190582148
2013-01-25,0.4307720508472044
2013-01-26,0.4367570982813853
2013-01-27,0.45188304310734706
2013-01-28,0.5000095700088276
2013-01-29,0.5349672997959902
2013-01-30,0.5436067042001391
2013-01-31,0.5792658370330668
2013-02-01,0.5731211979323323
2013-02-02,0.5301689097373883
2013-02-03,0.5742808543578644
2013-02-04,0.5647623326512421
2013-02-05,0.5726225018217361
2013-02-06,0.5960011026850074
2013-02-07,0.6350024159170133
2013-02-08,0.6617730146038752
2013-02-09,0.6993034572419128
2013-02-10,0.7031132314004718
2013-02-11,0.7245102346215928
2013-02-12,0.7407600890376873
2013-02-13,0.7238611219341053
2013-02-14,0.8221676097698878
2013-02-15,0.8145425334332743
2013-02-16,0.8174748159713778
2013-02-17,0.7985785832250225
2013-02-18,0.7951881431607308
2013-02-19,0.8797456960734937
2013-02-20,0.8897275349044405
2013-02-21,0.8859472910125064
2013-02-22,0.9038871337488996
2013-02-23,0.8780832165295851
2013-02-24,0.8769476278795905
2013-02-25,0.8887624019745282
2013-02-26,0.9110965954997021
2013-02-27,0.9100189737796662
2013-02-28,0.9721469062675792
2013-03-01,1.0042891135032677
2013-03-02,0.9868030605567513
2013-03-03,0.9917494741341963
2013-03-04,1.0419146763480605
2013-03-05,1.1490477988789154
2013-03-06,1.2066035787650224
2013-03-07,1.170633922959341
2013-03-08,1.2114911394003953
2013-03-09,1.2723928624560266
2013-03-10,1.2498679651564548
2013-03-11,1.2917815764349099
2013-03-12,1.203713220486974
2013-03-13,1.2558049555634354
2013-03-14,1.2490357745207956
2013-03-15,1.2437173020789065
2013-03-16,1.244296287242999
2013-03-17,1.2431990649305327
2013-03-18,1.3198801988554583
2013-03-19,1.4613719748182055
2013-03-20,1.523716993474702
2013-03-21,1.6252434050738942
2013-03-22,1.6040710486378607
2013-03-23,1.516906886813104
2013-03-24,1.6184063461063363
2013-03-25,1.6482437230224276
2013-03-26,1.6982279409239287
2013-03-27,1.81401790865034
2013-03-28,1.7940788739777145
2013-03-29,1.8168875977123968
2013-03-30,1.8309271582276199
2013-03-31,1.8425262386151506
2013-04-01,1.9335848151036532
2013-04-02,2.04524427956657
2013-04-03,2.1561501170297728
2013-04-04,2.160595267963024
2013-04-05,2.222395650822751
2013-04-06,2.217528054108639
2013-04-07,2.3384912738921155
2013-04-08,2.4643905030908733
2013-04-09,2.668231773081748
2013-04-10,2.3013328804178723
2013-04-11,1.630026308219601
2013-04-12,1.918891971251429
2013-04-13,1.7791619154628746
2013-04-14,1.678701587714981
2013-04-15,1.578257390571249
2013-04-16,1.4032989093742154
2013-04-17,1.7040652298113477
2013-04-18,1.8536479010061147
2013-04-19,1.9374289879710478
2013-04-20,2.0040958909260924
2013-04-21,1.9176975839509671
2013-04-22,1.973966256740331
2013-04-23,2.0837819847428527
2013-04-24,2.156457781413435
2013-04-25,2.0593200695392806
2013-04-26,2.0239407061619152
2013-04-27,1.94837591058441
2013-04-28,1.9890169388270342
2013-04-29,2.0467417282030453
2013-04-30,2.005453838464506
2013-05-01,1.8170232844063774
2013-05-02,1.7217965820876469
2013-05-03,1.6158135031243983
2013-05-04,1.7635581514699545
2013-05-05,1.7907325394020361
2013-05-06,1.7449188768408659
2013-05-07,1.7327793612383822
2013-05-08,1.738703681033587
2013-05-09,1.720728063483115
2013-05-10,1.7626464462047373
2013-05-11,1.7360112250752833
2013-05-12,1.7228193918991535
2013-05-13,1.7365205345666297
2013-05-14,1.6440552917259517
2013-05-15,1.646599849790987
2013-05-16,1.6740455091695043
2013-05-17,1.7037897526081993
2013-05-18,1.7030119859515844
2013-05-19,1.6850193361150323
2013-05-20,1.68325990191917
2013-05-21,1.6698968989536809
2013-05-22,1.6758262238513737
2013-05-23,1.705982196144725
2013-05-24,1.7381978354509195
2013-05-25,1.7277548162188339
2013-05-26,1.7281467812607803
2013-05-27,1.688989121848956
2013-05-28,1.6750361099792377
2013-05-29,1.6931760283196882
2013-05-30,1.6585052164203864
2013-05-31,1.6573477692556509
2013-06-01,1.6527915108377043
2013-06-02,1.5909470524279588
2013-06-03,1.5791431448887572
2013-06-04,1.5391532109367931
2013-06-05,
2013-06-06,
2013-06-07,
2013-06-08,
2013-06-09,
2013-06-10,
2013-06-11,
2013-06-12,
2013-06-13,
2013-06-14,
2013-06-15,
2013-06-16,
2013-06-17,
2013-06-18,
2013-06-19,
2013-06-20,
2013-06-21,
2013-06-22,
2013-06-23,
2013-06-24,
2013-06-25,
2013-06-26,
2013-06-27,
2013-06-28,
2013-06-29,
2013-06-30,
2013-07-01,
2013-07-02,
2013-07-03,
2013-07-04,
2013-07-05,
2013-07-06,
2013-07-07,
2013-07-08,
2013-07-09,
2013-07-10,
2013-07-11,
2013-07-12,
2013-07-13,
2013-07-14,
2013-07-15,
2013-07-16,
2013-07-17,
2013-07-18,
2013-07-19,
2013-07-20,
2013-07-21,
2013-07-22,
2013-07-23,
2013-07-24,
2013-07-25,
2013-07-26,
2013-07-27,
2013-07-28,
2013-07-29,
2013-07-30,
2013-07-31,
2013-08-01,
2013-08-02,
2013-08-03,
2013-08-04,
2013-08-05,
2013-08-06,
2013-08-07,
2013-08-08,
2013-08-09,
2013-08-10,
2013-08-11,
2013-08-12,
2013-08-13,
2013-08-14,
2013-08-15,
2013-08-16,
2013-08-17,
2013-08-18,
2013-08-19,
2013-08-20,
2013-08-21,
2013-08-22,
2013-08-23,
2013-08-24,
2013-08-25,
2013-08-26,
2013-08-27,
2013-08-28,
2013-08-29,
2013-08-30,
2013-08-31,
2013-09-01,
2013-09-02,
2013-09-03,
2013-09-04,
2013-09-05,
2013-09-06,
2013-09-07,
2013-09-08,
2013-09-09,
2013-09-10,
2013-09-11,
2013-09-12,
2013-09-13,
2013-09-14,
2013-09-15,
2013-09-16,
2013-09-17,
2013-09-18,
2013-09-19,
2013-09-20,
2013-09-21,
2013-09-22,
2013-09-23,
2013-09-24,
2013-09-25,
2013-09-26,
2013-09-27,
2013-09-28,
2013-09-29,
2013-09-30,
2013-10-01,
2013-10-02,
2013-10-03,
2013-10-04,
2013-10-05,
2013-10-06,
2013-10-07,
2013-10-08,
2013-10-09,
2013-10-10,
2013-10-11,
2013-10-12,
2013-10-13,
2013-10-14,
2013-10-15,
2013-10-16,
2013-10-17,
2013-10-18,
2013-10-19,
2013-10-20,
2013-10-21,
2013-10-22,
2013-10-23,
2013-10-24,
2013-10-25,
2013-10-26,
2013-10-27,
2013-10-28,
2013-10-29,
2013-10-30,
2013-10-31,
2013-11-01,
2013-11-02,
2013-11-03,
2013-11-04,
2013-11-05,
2013-11-06,
2013-11-07,
2013-11-08,
2013-11-09,
2013-11-10,
2013-11-11,
2013-11-12,
2013-11-13,
2013-11-14,
2013-11-15,
2013-11-16,
2013-11-17,
2013-11-18,
2013-11-19,
2013-11-20,
2013-11-21,
2013-11-22,
2013-11-23,
2013-11-24,
2013-11-25,
2013-11-26,
2013-11-27,
2013-11-28,
2013-11-29,
2013-11-30,
2013-12-01,
2013-12-02,
2013-12-03,
2013-12-04,
2013-12-05,
2013-12-06,
2013-12-07,
2013-12-08,
2013-12-09,
2013-12-10,
2013-12-11,
2013-12-12,
2013-12-13,
2013-12-14,
2013-12-15,
2013-12-16,
2013-12-17,
2013-12-18,
2013-12-19,
2013-12-20,
2013-12-21,
2013-12-22,
2013-12-23,
2013-12-24,
2013-12-25,
2013-12-26,
2013-12-27,
2013-12-28,
2013-12-29,
2013-12-30,
2013-12-31,
2014-01-01,
2014-01-02,
2014-01-03,
2014-01-04,
2014-01-05,
2014-01-06,
2014-01-07,
2014-01-08,
2014-01-09,
2014-01-10,
2014-01-11,
2014-01-12,
2014-01-13,
2014-01-14,
2014-01-15,
2014-01-16,
2014-01-17,
2014-01-18,
2014-01-19,
2014-01-20,
2014-01-21,
2014-01-22,
2014-01-23,
2014-01-24,
2014-01-25,
2014-01-26,
2014-01-27,
2014-01-28,
2014-01-29,
2014-01-30,
2014-01-31,
2014-02-01,
2014-02-02,
2014-02-03,
2014-02-04,
2014-02-05,
2014-02-06,
2014-02-07,
2014-02-08,
2014-02-09,
2014-02-10,
2014-02-11,
2014-02-12,
2014-02-13,
2014-02-14,
2014-02-15,
2014-02-16,
2014-02-17,
2014-02-18,
2014-02-19,
2014-02-20,
2014-02-21,
2014-02-22,
2014-02-23,
2014-02-24,
2014-02-25,
2014-02-26,
2014-02-27,
2014-02-28,
2014-03-01,
2014-03-02,
2014-03-03,
2014-03-04,
2014-03-05,
2014-03-06,
2014-03-07,
2014-03-08,
2014-03-09,
2014-03-10,
2014-03-11,
2014-03-12,
2014-03-13,
2014-03-14,
2014-03-15,
2014-03-16,
2014-03-17,
2014-03-18,
2014-03-19,
2014-03-20,
2014-03-21,
2014-03-22,
2014-03-23,
2014-03-24,
2014-03-25,
2014-03-26,
2014-03-27,
2014-03-28,
2014-03-29,
2014-03-30,
2014-03-31,
2014-04-01,
2014-04-02,
2014-04-03,
2014-04-04,
2014-04-05,
2014-04-06,
2014-04-07,
2014-04-08,
2014-04-09,
2014-04-10,
2014-04-11,
2014-04-12,
2014-04-13,
2014-04-14,
2014-04-15,
2014-04-16,
2014-04-17,
2014-04-18,
2014-04-19,
2014-04-20,
2014-04-21,
2014-04-22,
2014-04-23,
2014-04-24,
